R (pc),Total_mass (Msun),DM_mass (Msun),Stellar_and_BH_mass (Msun)
0.5591367229623714,6500013022.026225,1302.6246830766784,6500011719.401542
0.5829416477084463,6500014154.240116,1415.9047307520393,6500012738.335385
0.6077600534492301,6500015384.877908,1539.0276575534936,6500013845.85025
0.6336350885558092,6500016722.512645,1672.8669593469301,6500015049.645685
0.6606117384163811,6500018176.431032,1818.340693622323,6500016358.090339
0.688736903646199,6500019756.74174,1976.4616690418861,6500017780.280071
0.7180594816272652,6500021474.436354,2148.335367634373,6500019326.1009865
0.7486304515195311,6500023341.459798,2335.1613354368287,6500021006.298463
0.7805029628913899,6500025370.775446,2538.224153309719,6500022832.551292
0.8137324281235784,6500027576.503225,2758.9501986306645,6500024817.553027
0.8483766187471051,6500029973.970266,2998.870016296217,6500026975.10025
0.8844957658827205,6500032579.84358,3259.655740112306,6500029320.18784
0.9221526649565396,6500035412.233304,3543.1196883289126,6500031869.113616
0.9614127848738644,6500038490.820939,3851.2297395750484,6500034639.5912
1.0023443818410283,6500041837.005948,4186.1332647751815,6500037650.872684
1.0450186180331336,6500045474.040195,4550.157385578991,6500040923.88281
1.0895096853140067,6500049427.205892,4945.842375885911,6500044481.363516
1.1358949342234492,6500053723.966348,5375.9340846949635,6500048348.032263
1.184255008456056,6500058394.182934,5843.429868905776,6500052550.753065
1.2346739850653872,6500063470.297555,6351.574600134218,6500057118.722955
1.2872395206372578,6500068987.586006,6903.911492076368,6500062083.674514
1.342043003686261,6500074984.369974,7504.274171162039,6500067480.095803
1.3991797135404938,6500081502.317014,8156.847469701831,6500073345.469544
1.4587489859907072,6500088586.69836,8866.165677509478,6500079720.532683
1.5208543859918777,6500096286.723473,9637.16424726629,6500086649.559225
1.585603887717435,6500104655.88141,10475.214992907508,6500094180.666417
1.6531100622792105,6500113752.283561,11386.135036424754,6500102366.148524
1.7234902734394495,6500123639.111895,12376.273044527557,6500111262.83885
1.7968668816551434,6500134385.013174,13452.50956976047,6500120932.503604
1.8733674568094485,6500146064.603431,14622.334150796169,6500131442.2692795
1.9531249999999991,6500158758.968579,15893.881208912486,6500142865.08737
2.0362781747697527,6500172556.245055,17276.005405904878,6500155280.239649
2.12297154818234,6500187552.202128,18778.315767181393,6500168773.886361
2.2133558421610773,6500203850.928404,20411.265849300817,6500183439.662555
2.307588195528565,6500221565.5342455,22186.20851122369,6500199379.325734
2.405832437202501,6500240818.9602165,24115.5010712843,6500216703.459146
2.5082593710226293,6500261744.793856,26212.557163496396,6500235532.236692
2.6150470727040456,6500284488.224629,28491.97130953677,6500255996.25332
2.7263811994331038,6500309207.025814,30969.598631999488,6500278237.427182
2.8424553126442045,6500336072.654433,33662.67431328203,6500302409.98012
2.9634712145386106,6500365271.435112,36589.932812965395,6500328681.502299
